website,total_listings,also_on_immoscout,unique_listings,pct_on_immoscout,pct_unique
WG Gesucht,"7,650",310,"7,340",4.05,95.95
Kleinanzeigen,"4,311",99,"4,212",2.3,97.7
Immowelt,"2,136",450,"1,686",21.07,78.93
Immonet,"1,006",111,895,11.03,88.97
Tausch Wohnung,919,28,891,3.05,96.95
Housing Anywhere,336,50,286,14.88,85.12
Wohnungsswap,273,5,268,1.83,98.17
Spacest,259,8,251,3.09,96.91
Howoge,250,0,250,0,100
Gewobag,224,3,221,1.34,98.66
Degewo,265,186,79,70.19,29.81
Urban Ground,85,19,66,22.35,77.65
Allod,81,17,64,20.99,79.01
Mueller Merkle,71,17,54,23.94,76.06
Stadt Und Land,81,38,43,46.91,53.09
Immobilien Markt 1A,42,2,40,4.76,95.24
Uni Places DE,38,0,38,0,100
Berlinovo,26,0,26,0,100
Ohne Makler,70,47,23,67.14,32.86
Gesobau,31,9,22,29.03,70.97
Buwog Immobilientreuhand,21,0,21,0,100
Strategis,15,0,15,0,100
Lan Immobilien,15,0,15,0,100
Immobilien,14,0,14,0,100
Baerlin Housing,29,18,11,62.07,37.93
Berlin Haus,16,7,9,43.75,56.25
Dydo,9,0,9,0,100
Romi Immobilien,14,6,8,42.86,57.14
Vonovia,28,21,7,75,25
Pandion Service,6,1,5,16.67,83.33
Living In Berlin,4,0,4,0,100
Horvat Real Estate,1,0,1,0,100
Vonvelsen Immobilien,1,0,1,0,100
Biddex,16,15,1,93.75,6.25
Immobilien Scout 24,"7,632","7,632",0,100,0
